kode_produk,nama_produk,harga,stok,kategori,last_updated
PROD-0336,kaos polos combed,45rb,58,pakian,1737752400
PROD-0337,buku pemrograman python,"Rp120000,-",12,buku bacaan,18/03/2025
PROD-0338,POWERBANK 10000mah,$8.00,12,elektronik,1771635600
PROD-0339,mouse WIRELESS,Rp 120.000,73,elektronik,"Jul 11, 2025"
PROD-0340,BAJU  ANAK PEREMPUAN,Rp 15.000,12,clothes,2026-01-09 5:00:00
PROD-0341,BaJu Bayi,$3.00,kosong,PAKAIAN,"Jul 01, 2025"
PROD-0342,NOVEL FIKSI TERJEMAHAN,$1.00,4,buku,2025-01-11 8:00:00
PROD-0343,KAMUS BAHASA INGGRIS,$8.00,12,BUKU,1745082000
PROD-0344,buku pemrograman python,Rp 45.000,31,buku bacaan,2025-07-31 1:00:00
PROD-0345,charger Type-C fast,120000,81,ELEKTRONIK,10/08/2025
PROD-0346,komik jepang lama,$3.00,12,buku bacaan,2026-03-26 12:00:00
PROD-0347,NOVEL FIKSI TERJEMAHAN,120,kosong,BUKU,2025-11-12 0:00:00
PROD-0348,KAMUS BAHASA INGGRIS,45000,null,BUKU,2026-01-09 6:00:00
PROD-0349,hP android murah,"Rp45000,-",null,elektronik,1760184000
PROD-0350,BaJu Bayi,45rb,89,PAKAIAN,18/05/2025
PROD-0351,mouse WIRELESS,120000,null,elektronik murah,1767052800
PROD-0352,buku pemrograman python,120000,kosong,BUKU,"Mar 23, 2026"
PROD-0353,POWERBANK 10000mah,$1.00,kosong,elektronik,"Jan 23, 2026"
PROD-0354,NOVEL FIKSI TERJEMAHAN,"Rp120000,-",12,buku bacaan,"Feb 06, 2026"
PROD-0355,komik jepang lama,45000,kosong,buku bacaan,"Apr 20, 2025"
PROD-0356,komik jepang lama,45,-5,BUKU,1760547600
PROD-0357,LAPTOP gaming i7,120rb,12,ELEKTRONIK,"Apr 21, 2025"
PROD-0358,mouse WIRELESS,15,null,elektronik,28/02/2025
PROD-0359,POWERBANK 10000mah,45,12,ELEKTRONIK,2025-03-04 7:00:00
PROD-0360,KEMEJA FLANEL Keren,$3.00,null,pakaian,2025-06-11 19:00:00
PROD-0361,Buku Mewarnai anak,15000,82,buku bacaan,21/03/2025
PROD-0362,KAMUS BAHASA INGGRIS,"Rp15000,-",85,buku,"Jun 03, 2025"
PROD-0363,hP android murah,"Rp120000,-",-5,ELEKTRONIK,"Jun 23, 2025"
PROD-0364,hP android murah,"Rp120000,-",-5,elektronik,1758142800
PROD-0365,POWERBANK 10000mah,Rp 15.000,12,elektronik,23/01/2026
PROD-0366,mouse WIRELESS,null,-5,elektronik,"Mar 23, 2025"
PROD-0367,LAPTOP gaming i7,15rb,null,elektronik,1739595600
PROD-0368,komik jepang lama,$3.00,-5,BUKU,2025-01-06 8:00:00
PROD-0369,BaJu Bayi,Rp 120.000,-5,clothes,08/09/2025
PROD-0370,hP android murah,$3.00,kosong,ELEKTRONIK,05/09/2025
PROD-0371,baju anak laki-laki,15rb,null,PAKAIAN,2025-03-23 14:00:00
PROD-0372,charger Type-C fast,Rp 15.000,kosong,elektronik,2025-01-25 9:00:00
PROD-0373,BaJu Bayi,15rb,-5,clothes,1746676800
PROD-0374,hP android murah,"Rp120000,-",null,ELEKTRONIK,2025-10-15 21:00:00
PROD-0375,LAPTOP gaming i7,45,12,elektronik,2025-04-25 3:00:00
PROD-0376,BAJU  ANAK PEREMPUAN,"Rp120000,-",12,clothes,1766768400
PROD-0377,hP android murah,120,kosong,elektronik murah,1749945600
PROD-0378,buku pemrograman python,120000,-5,buku bacaan,"Sep 29, 2025"
PROD-0379,mouse WIRELESS,$1.00,null,ELEKTRONIK,2025-07-06 23:00:00
PROD-0380,BaJu Bayi,Rp 45.000,kosong,pakian,"Nov 02, 2025"
PROD-0381,mouse WIRELESS,15000,null,elektronik murah,"Aug 12, 2025"
PROD-0382,buku pemrograman python,"Rp45000,-",-5,BUKU,2025-06-13 7:00:00
PROD-0383,Buku Mewarnai anak,"Rp15000,-",null,buku,"May 29, 2025"
PROD-0384,LAPTOP gaming i7,,37,elektronik murah,25/07/2025
PROD-0385,Buku Mewarnai anak,$3.00,-5,buku bacaan,2025-03-13 2:00:00
PROD-0386,kaos polos combed,45rb,54,pakaian,"Jul 10, 2025"
PROD-0387,hP android murah,"Rp120000,-",4,elektronik murah,"Oct 07, 2025"
PROD-0388,POWERBANK 10000mah,null,-5,elektronik murah,1761544800
PROD-0389,BaJu Bayi,120rb,12,clothes,18/06/2025
PROD-0390,KAMUS BAHASA INGGRIS,45rb,-5,buku,2026-03-13 7:00:00
PROD-0391,KEMEJA FLANEL Keren,120000,null,PAKAIAN,2025-12-10 13:00:00
PROD-0392,KEMEJA FLANEL Keren,120000,6,pakaian,"Dec 17, 2025"
PROD-0393,baju anak laki-laki,120,12,PAKAIAN,02/01/2026
PROD-0394,KEMEJA FLANEL Keren,15000,12,PAKAIAN,27/08/2025
PROD-0395,kaos polos combed,45,null,clothes,2025-03-19 21:00:00
PROD-0396,POWERBANK 10000mah,null,12,elektronik murah,2025-02-27 13:00:00
PROD-0397,BAJU  ANAK PEREMPUAN,$1.00,12,clothes,2025-06-20 13:00:00
PROD-0398,komik jepang lama,null,kosong,buku,07/02/2025
PROD-0399,KEMEJA FLANEL Keren,45000,12,pakian,03/10/2025
PROD-0400,charger Type-C fast,120000,-5,ELEKTRONIK,1762059600
PROD-0401,baju anak laki-laki,45000,8,pakian,21/07/2025
PROD-0402,BaJu Bayi,45000,12,pakaian,05/03/2025
PROD-0403,NOVEL FIKSI TERJEMAHAN,null,null,BUKU,2026-01-28 17:00:00
PROD-0404,komik jepang lama,"Rp45000,-",-5,BUKU,10/10/2025
PROD-0405,hP android murah,15000,35,ELEKTRONIK,02/12/2025
PROD-0406,BaJu Bayi,null,kosong,PAKAIAN,19/09/2025
PROD-0407,hP android murah,15rb,null,elektronik murah,30/03/2025
PROD-0408,NOVEL FIKSI TERJEMAHAN,Rp 15.000,-5,buku,"Jan 29, 2026"
PROD-0409,komik jepang lama,15rb,null,buku bacaan,15/11/2025
PROD-0410,LAPTOP gaming i7,120rb,12,ELEKTRONIK,"Feb 11, 2025"
PROD-0411,kaos polos combed,120,12,clothes,1773244800
PROD-0412,charger Type-C fast,"Rp120000,-",-5,elektronik,31/12/2025
PROD-0413,BAJU  ANAK PEREMPUAN,Rp 45.000,-5,pakaian,19/06/2025
PROD-0414,KEMEJA FLANEL Keren,,-5,pakian,2025-06-20 7:00:00
PROD-0415,BaJu Bayi,15rb,12,PAKAIAN,1765782000
PROD-0416,charger Type-C fast,"Rp45000,-",27,ELEKTRONIK,"Jan 27, 2026"
PROD-0417,KAMUS BAHASA INGGRIS,Rp 15.000,null,BUKU,28/03/2025
PROD-0418,Buku Mewarnai anak,15000,61,BUKU,2026-01-08 20:00:00
PROD-0419,baju anak laki-laki,45000,kosong,PAKAIAN,2025-08-07 10:00:00
PROD-0420,charger Type-C fast,Rp 45.000,51,elektronik,"Jun 03, 2025"
PROD-0421,KEMEJA FLANEL Keren,"Rp15000,-",kosong,pakian,"Mar 04, 2026"
PROD-0422,charger Type-C fast,15000,-5,elektronik murah,1755140400
PROD-0423,BaJu Bayi,Rp 45.000,12,pakian,"Oct 01, 2025"
PROD-0424,KAMUS BAHASA INGGRIS,15000,null,buku bacaan,"Feb 17, 2026"
PROD-0425,kaos polos combed,120,12,clothes,"May 18, 2025"
PROD-0426,KAMUS BAHASA INGGRIS,$8.00,12,buku,2025-08-09 5:00:00
PROD-0427,baju anak laki-laki,15,-5,PAKAIAN,2025-01-30 16:00:00
PROD-0428,KEMEJA FLANEL Keren,"Rp120000,-",12,pakaian,17/02/2025
PROD-0429,Buku Mewarnai anak,45,null,buku,1743505200
PROD-0430,Buku Mewarnai anak,Rp 45.000,null,buku bacaan,1764892800
PROD-0431,buku pemrograman python,120rb,95,BUKU,20/02/2025
PROD-0432,komik jepang lama,$8.00,12,buku,1768251600
PROD-0433,buku pemrograman python,120rb,null,BUKU,1769317200
PROD-0434,LAPTOP gaming i7,120,kosong,ELEKTRONIK,"Feb 16, 2026"
PROD-0435,LAPTOP gaming i7,15rb,-5,ELEKTRONIK,1765576800
PROD-0436,BAJU  ANAK PEREMPUAN,"Rp45000,-",null,clothes,1745298000
PROD-0437,hP android murah,$8.00,kosong,elektronik,"Jun 25, 2025"
PROD-0438,komik jepang lama,$8.00,kosong,buku bacaan,1758679200
PROD-0439,KEMEJA FLANEL Keren,120000,67,pakaian,2026-02-27 22:00:00
PROD-0440,POWERBANK 10000mah,$8.00,null,ELEKTRONIK,2025-02-20 14:00:00
PROD-0441,kaos polos combed,45rb,kosong,pakaian,"Apr 01, 2025"
PROD-0442,LAPTOP gaming i7,15000,null,elektronik,27/07/2025
PROD-0443,Buku Mewarnai anak,"Rp45000,-",74,BUKU,27/06/2025
PROD-0444,KAMUS BAHASA INGGRIS,15000,null,buku bacaan,1741500000
PROD-0445,LAPTOP gaming i7,"Rp15000,-",62,elektronik murah,23/10/2025
PROD-0446,Buku Mewarnai anak,"Rp45000,-",null,BUKU,1738285200
PROD-0447,BaJu Bayi,120,null,pakaian,1766307600
PROD-0448,mouse WIRELESS,Rp 120.000,12,elektronik murah,1748149200
PROD-0449,BAJU  ANAK PEREMPUAN,120,2,clothes,2025-04-16 14:00:00
PROD-0450,BAJU  ANAK PEREMPUAN,Rp 45.000,-5,pakian,1769706000
PROD-0451,komik jepang lama,45rb,kosong,buku bacaan,"Apr 04, 2025"
PROD-0452,mouse WIRELESS,120rb,12,elektronik murah,"Feb 27, 2025"
PROD-0453,BAJU  ANAK PEREMPUAN,"Rp120000,-",12,PAKAIAN,2025-01-22 16:00:00
PROD-0454,BAJU  ANAK PEREMPUAN,15000,70,pakian,1738933200
PROD-0455,kaos polos combed,$8.00,98,clothes,1740567600
PROD-0456,BAJU  ANAK PEREMPUAN,Rp 120.000,12,PAKAIAN,2026-03-10 21:00:00
PROD-0457,KEMEJA FLANEL Keren,"Rp120000,-",kosong,pakian,24/02/2025
PROD-0458,BaJu Bayi,,null,pakian,2025-09-09 8:00:00
PROD-0459,buku pemrograman python,$1.00,kosong,buku,1759489200
PROD-0460,BaJu Bayi,Rp 45.000,-5,pakian,2025-04-04 6:00:00
PROD-0461,BaJu Bayi,null,null,clothes,15/12/2025
PROD-0462,kaos polos combed,120000,null,PAKAIAN,"Apr 19, 2025"
PROD-0463,charger Type-C fast,Rp 15.000,kosong,elektronik,2025-06-01 15:00:00
PROD-0464,BAJU  ANAK PEREMPUAN,"Rp15000,-",12,clothes,2025-11-30 4:00:00
PROD-0465,BAJU  ANAK PEREMPUAN,"Rp45000,-",-5,clothes,1759046400
PROD-0466,KEMEJA FLANEL Keren,,-5,pakaian,2025-09-03 8:00:00
PROD-0467,KEMEJA FLANEL Keren,120,12,pakaian,20/03/2025
PROD-0468,POWERBANK 10000mah,$1.00,-5,elektronik,"Mar 03, 2026"
PROD-0469,BAJU  ANAK PEREMPUAN,$8.00,20,clothes,22/11/2025
PROD-0470,hP android murah,Rp 15.000,12,ELEKTRONIK,1741986000
PROD-0471,charger Type-C fast,"Rp120000,-",-5,elektronik,"Sep 09, 2025"
PROD-0472,Buku Mewarnai anak,Rp 120.000,12,buku bacaan,09/07/2025
PROD-0473,LAPTOP gaming i7,Rp 120.000,80,elektronik,02/12/2025
PROD-0474,charger Type-C fast,45,null,elektronik,03/08/2025
PROD-0475,buku pemrograman python,Rp 120.000,null,buku bacaan,02/01/2026
PROD-0476,LAPTOP gaming i7,15,94,elektronik,2025-12-31 1:00:00
PROD-0477,Buku Mewarnai anak,45rb,16,buku bacaan,1752775200
PROD-0478,charger Type-C fast,45rb,12,ELEKTRONIK,01/04/2025
PROD-0479,buku pemrograman python,45000,-5,buku,2025-03-28 14:00:00
PROD-0480,NOVEL FIKSI TERJEMAHAN,Rp 120.000,kosong,buku bacaan,"Jan 01, 2025"
PROD-0481,KEMEJA FLANEL Keren,$8.00,12,clothes,30/11/2025
PROD-0482,POWERBANK 10000mah,null,12,elektronik murah,1770552000
PROD-0483,kaos polos combed,120,null,clothes,1765364400
PROD-0484,kaos polos combed,15,12,PAKAIAN,1771430400
PROD-0485,hP android murah,15000,12,ELEKTRONIK,2025-10-04 20:00:00
PROD-0486,komik jepang lama,"Rp45000,-",22,buku bacaan,"Mar 07, 2025"
PROD-0487,POWERBANK 10000mah,45rb,59,elektronik,2025-07-22 3:00:00
PROD-0488,KEMEJA FLANEL Keren,15rb,kosong,pakaian,"Feb 04, 2025"
PROD-0489,mouse WIRELESS,"Rp45000,-",47,elektronik,1758103200
PROD-0490,Buku Mewarnai anak,15000,-5,BUKU,"Jul 22, 2025"
PROD-0491,KAMUS BAHASA INGGRIS,$3.00,12,buku bacaan,2025-03-16 16:00:00
PROD-0492,KEMEJA FLANEL Keren,45,kosong,PAKAIAN,25/07/2025
PROD-0493,Buku Mewarnai anak,"Rp45000,-",-5,buku,"Jan 30, 2025"
PROD-0494,mouse WIRELESS,,58,elektronik murah,2025-02-10 15:00:00
PROD-0495,komik jepang lama,120rb,kosong,BUKU,1762506000
PROD-0496,KEMEJA FLANEL Keren,"Rp45000,-",kosong,pakaian,1759608000
PROD-0497,charger Type-C fast,null,44,elektronik,1760360400
PROD-0498,BaJu Bayi,,96,PAKAIAN,"Jun 30, 2025"
PROD-0499,komik jepang lama,$3.00,95,buku bacaan,"Jan 24, 2026"
PROD-0500,KEMEJA FLANEL Keren,,95,pakaian,03/08/2025
PROD-0501,charger Type-C fast,"Rp45000,-",12,elektronik murah,14/12/2025
PROD-0502,KEMEJA FLANEL Keren,15,-5,pakian,"Mar 02, 2025"
PROD-0503,hP android murah,45rb,kosong,elektronik murah,1754895600
PROD-0504,BAJU  ANAK PEREMPUAN,Rp 45.000,12,clothes,03/02/2025
PROD-0505,Buku Mewarnai anak,,kosong,buku bacaan,2026-01-18 14:00:00
PROD-0506,Buku Mewarnai anak,45,12,buku bacaan,"Mar 01, 2025"
PROD-0507,mouse WIRELESS,Rp 120.000,kosong,ELEKTRONIK,1771585200
PROD-0508,charger Type-C fast,120rb,kosong,elektronik murah,1740085200
PROD-0509,charger Type-C fast,"Rp15000,-",90,elektronik,"Feb 21, 2025"
PROD-0510,baju anak laki-laki,120000,12,pakian,1751569200
PROD-0511,kaos polos combed,15,12,pakaian,1746993600
PROD-0512,kaos polos combed,,93,PAKAIAN,25/01/2025
PROD-0513,buku pemrograman python,Rp 15.000,null,buku bacaan,1773633600
PROD-0514,kaos polos combed,120,kosong,pakian,16/08/2025
PROD-0515,buku pemrograman python,45,-5,buku bacaan,"Aug 08, 2025"
PROD-0516,BaJu Bayi,"Rp15000,-",kosong,pakian,2026-02-19 7:00:00
PROD-0517,KAMUS BAHASA INGGRIS,Rp 120.000,null,BUKU,2025-08-02 18:00:00
PROD-0518,kaos polos combed,Rp 120.000,-5,clothes,1756270800
PROD-0519,buku pemrograman python,"Rp15000,-",kosong,buku bacaan,1773518400
PROD-0520,LAPTOP gaming i7,45,-5,elektronik,1766253600
PROD-0521,Buku Mewarnai anak,null,-5,BUKU,05/02/2026
PROD-0522,buku pemrograman python,,25,buku bacaan,"Jun 01, 2025"
PROD-0523,charger Type-C fast,15,null,elektronik,2025-12-16 10:00:00
PROD-0524,LAPTOP gaming i7,Rp 120.000,kosong,ELEKTRONIK,2025-10-19 0:00:00
PROD-0525,BaJu Bayi,Rp 15.000,16,pakaian,1768078800
PROD-0526,charger Type-C fast,null,kosong,elektronik,"Feb 16, 2026"
PROD-0527,KAMUS BAHASA INGGRIS,"Rp120000,-",null,buku bacaan,"Feb 04, 2026"
PROD-0528,buku pemrograman python,120,12,buku,2025-09-04 12:00:00
PROD-0529,KEMEJA FLANEL Keren,"Rp45000,-",12,PAKAIAN,2026-03-18 18:00:00
PROD-0530,BaJu Bayi,$3.00,null,pakaian,1758430800
PROD-0531,baju anak laki-laki,Rp 15.000,kosong,PAKAIAN,25/07/2025
PROD-0532,charger Type-C fast,"Rp15000,-",6,ELEKTRONIK,10/05/2025
PROD-0533,POWERBANK 10000mah,Rp 120.000,kosong,ELEKTRONIK,2025-06-07 21:00:00
PROD-0534,KEMEJA FLANEL Keren,"Rp45000,-",12,clothes,"Jun 16, 2025"
PROD-0535,kaos polos combed,Rp 120.000,-5,pakaian,1763233200
PROD-0536,KEMEJA FLANEL Keren,45rb,81,pakaian,28/11/2025
PROD-0537,KAMUS BAHASA INGGRIS,null,kosong,buku bacaan,"Mar 04, 2025"
PROD-0538,komik jepang lama,120000,-5,buku bacaan,21/04/2025
PROD-0539,BaJu Bayi,15,12,pakaian,21/01/2026
PROD-0540,buku pemrograman python,,-5,BUKU,2025-01-02 13:00:00
PROD-0541,komik jepang lama,45rb,-5,buku bacaan,1752112800
PROD-0542,komik jepang lama,$1.00,95,buku,"Sep 18, 2025"
PROD-0543,BaJu Bayi,120rb,17,clothes,2026-01-10 5:00:00
PROD-0544,NOVEL FIKSI TERJEMAHAN,"Rp120000,-",32,BUKU,02/02/2025
PROD-0545,hP android murah,15000,12,ELEKTRONIK,1757026800
PROD-0546,BaJu Bayi,45rb,12,pakaian,2025-03-16 17:00:00
PROD-0547,kaos polos combed,$1.00,null,PAKAIAN,"Jan 20, 2025"
PROD-0548,KAMUS BAHASA INGGRIS,Rp 15.000,kosong,BUKU,11/11/2025
PROD-0549,KAMUS BAHASA INGGRIS,$3.00,12,BUKU,1763614800
PROD-0550,BAJU  ANAK PEREMPUAN,120rb,null,clothes,"Feb 06, 2025"
PROD-0551,LAPTOP gaming i7,Rp 45.000,31,ELEKTRONIK,"Dec 02, 2025"
PROD-0552,charger Type-C fast,,null,ELEKTRONIK,2025-12-08 9:00:00
PROD-0553,komik jepang lama,120rb,null,buku bacaan,"Jul 28, 2025"
PROD-0554,buku pemrograman python,$1.00,-5,BUKU,04/08/2025
PROD-0555,mouse WIRELESS,120000,null,elektronik murah,2026-02-28 22:00:00
PROD-0556,LAPTOP gaming i7,15rb,null,elektronik murah,15/04/2025
PROD-0557,POWERBANK 10000mah,$8.00,12,elektronik murah,"Nov 28, 2025"
PROD-0558,charger Type-C fast,"Rp45000,-",-5,elektronik murah,2025-01-05 20:00:00
PROD-0559,komik jepang lama,"Rp15000,-",71,BUKU,15/07/2025
PROD-0560,LAPTOP gaming i7,15,-5,elektronik murah,22/10/2025
PROD-0561,baju anak laki-laki,15000,12,pakaian,1769104800
PROD-0562,BaJu Bayi,120rb,null,clothes,"Jan 07, 2026"
PROD-0563,NOVEL FIKSI TERJEMAHAN,Rp 120.000,-5,BUKU,1750744800
PROD-0564,NOVEL FIKSI TERJEMAHAN,45000,6,buku bacaan,07/02/2025
PROD-0565,hP android murah,"Rp15000,-",kosong,elektronik murah,04/10/2025
PROD-0566,buku pemrograman python,Rp 45.000,kosong,buku bacaan,2025-04-27 23:00:00
PROD-0567,komik jepang lama,Rp 120.000,12,BUKU,2025-04-21 20:00:00
PROD-0568,NOVEL FIKSI TERJEMAHAN,,null,buku,2025-06-25 13:00:00
PROD-0569,POWERBANK 10000mah,Rp 120.000,94,ELEKTRONIK,"Apr 25, 2025"
PROD-0570,BAJU  ANAK PEREMPUAN,$1.00,null,pakaian,30/01/2026
PROD-0571,Buku Mewarnai anak,Rp 15.000,61,buku bacaan,08/03/2026
PROD-0572,NOVEL FIKSI TERJEMAHAN,$8.00,-5,BUKU,1761530400
PROD-0573,KEMEJA FLANEL Keren,"Rp120000,-",12,clothes,16/08/2025
PROD-0574,komik jepang lama,45,12,BUKU,25/04/2025
PROD-0575,buku pemrograman python,,-5,BUKU,1743292800
PROD-0576,buku pemrograman python,null,null,BUKU,2026-02-22 14:00:00
PROD-0577,buku pemrograman python,45,kosong,buku,1762041600
PROD-0578,NOVEL FIKSI TERJEMAHAN,45rb,kosong,buku,"Dec 10, 2025"
PROD-0579,komik jepang lama,"Rp120000,-",-5,buku,"Mar 05, 2026"
PROD-0580,LAPTOP gaming i7,Rp 45.000,89,elektronik,2025-01-24 17:00:00
PROD-0581,charger Type-C fast,$8.00,45,elektronik murah,1748203200
PROD-0582,BaJu Bayi,null,12,clothes,1748898000
PROD-0583,mouse WIRELESS,"Rp15000,-",kosong,elektronik murah,"Apr 28, 2025"
PROD-0584,LAPTOP gaming i7,$1.00,null,elektronik murah,1772028000
PROD-0585,KEMEJA FLANEL Keren,45,kosong,pakian,"Jan 01, 2026"
PROD-0586,BAJU  ANAK PEREMPUAN,$1.00,-5,pakaian,06/01/2025
PROD-0587,Buku Mewarnai anak,15,-5,buku bacaan,2025-04-13 13:00:00
PROD-0588,KAMUS BAHASA INGGRIS,15rb,null,buku bacaan,2025-09-29 22:00:00
PROD-0589,charger Type-C fast,"Rp15000,-",68,elektronik,2025-11-12 5:00:00
PROD-0590,baju anak laki-laki,15rb,12,clothes,"Mar 20, 2026"
PROD-0591,Buku Mewarnai anak,Rp 45.000,null,BUKU,1747998000
PROD-0592,buku pemrograman python,"Rp45000,-",-5,buku,1759626000
PROD-0593,kaos polos combed,15000,null,pakian,"Mar 14, 2026"
PROD-0594,LAPTOP gaming i7,Rp 45.000,-5,elektronik murah,"Sep 30, 2025"
PROD-0595,baju anak laki-laki,$3.00,null,PAKAIAN,1739167200
PROD-0596,BaJu Bayi,120rb,-5,pakaian,1769187600
PROD-0597,BaJu Bayi,$3.00,19,PAKAIAN,2025-12-14 11:00:00
PROD-0598,BAJU  ANAK PEREMPUAN,Rp 120.000,12,pakian,2025-12-14 5:00:00
PROD-0599,baju anak laki-laki,120rb,12,pakaian,2025-01-15 6:00:00
PROD-0600,komik jepang lama,,-5,buku bacaan,2025-01-07 22:00:00
PROD-0601,charger Type-C fast,"Rp15000,-",99,elektronik murah,2025-02-03 18:00:00
PROD-0602,KAMUS BAHASA INGGRIS,"Rp45000,-",kosong,BUKU,2025-03-29 1:00:00
PROD-0603,KAMUS BAHASA INGGRIS,15000,kosong,buku,2025-12-24 18:00:00
PROD-0604,komik jepang lama,45,1,buku bacaan,"Nov 01, 2025"
PROD-0605,charger Type-C fast,15,96,elektronik,2025-11-24 0:00:00
PROD-0606,Buku Mewarnai anak,Rp 120.000,-5,buku,"Feb 12, 2026"
PROD-0607,komik jepang lama,Rp 120.000,12,BUKU,23/11/2025
PROD-0608,KAMUS BAHASA INGGRIS,45,-5,buku bacaan,2025-07-04 0:00:00
PROD-0609,BaJu Bayi,15rb,12,PAKAIAN,27/03/2025
PROD-0610,buku pemrograman python,"Rp15000,-",12,BUKU,"Jul 26, 2025"
PROD-0611,KAMUS BAHASA INGGRIS,null,37,buku,"Feb 09, 2025"
PROD-0612,KEMEJA FLANEL Keren,Rp 120.000,kosong,PAKAIAN,"Sep 14, 2025"
PROD-0613,KEMEJA FLANEL Keren,120,null,PAKAIAN,14/07/2025
PROD-0614,BAJU  ANAK PEREMPUAN,"Rp45000,-",72,pakian,2025-12-28 2:00:00
PROD-0615,buku pemrograman python,null,-5,buku bacaan,"Nov 07, 2025"
PROD-0616,BaJu Bayi,15000,null,pakaian,2025-05-10 8:00:00
PROD-0617,KAMUS BAHASA INGGRIS,$1.00,11,buku,"Mar 31, 2025"
PROD-0618,baju anak laki-laki,45000,kosong,PAKAIAN,1771171200
PROD-0619,NOVEL FIKSI TERJEMAHAN,15,12,buku bacaan,07/02/2026
PROD-0620,Buku Mewarnai anak,45rb,59,BUKU,"Jul 03, 2025"
PROD-0621,charger Type-C fast,"Rp45000,-",98,ELEKTRONIK,1760274000
PROD-0622,NOVEL FIKSI TERJEMAHAN,15000,null,BUKU,08/07/2025
PROD-0623,KEMEJA FLANEL Keren,"Rp15000,-",12,pakian,29/08/2025
PROD-0624,KEMEJA FLANEL Keren,"Rp45000,-",12,PAKAIAN,1758880800
PROD-0625,mouse WIRELESS,$3.00,null,ELEKTRONIK,2025-09-10 7:00:00
PROD-0626,buku pemrograman python,45,94,buku bacaan,21/10/2025
PROD-0627,hP android murah,45rb,12,elektronik murah,"Dec 13, 2025"
PROD-0628,KAMUS BAHASA INGGRIS,Rp 120.000,12,buku,1739106000
PROD-0629,baju anak laki-laki,120,12,PAKAIAN,2025-11-14 20:00:00
PROD-0630,BAJU  ANAK PEREMPUAN,120rb,null,PAKAIAN,1745798400
PROD-0631,KAMUS BAHASA INGGRIS,120000,null,buku bacaan,"Sep 02, 2025"
PROD-0632,komik jepang lama,"Rp45000,-",12,buku bacaan,1756728000
PROD-0633,KEMEJA FLANEL Keren,"Rp15000,-",-5,clothes,19/03/2025
PROD-0634,NOVEL FIKSI TERJEMAHAN,Rp 45.000,12,buku,1767726000
PROD-0635,BAJU  ANAK PEREMPUAN,,null,pakian,2025-04-30 0:00:00
PROD-0636,KEMEJA FLANEL Keren,15000,-5,clothes,2025-01-27 21:00:00
PROD-0637,BAJU  ANAK PEREMPUAN,"Rp15000,-",kosong,PAKAIAN,11/03/2025
PROD-0638,POWERBANK 10000mah,Rp 15.000,null,elektronik murah,1759262400
PROD-0639,komik jepang lama,"Rp45000,-",58,BUKU,24/10/2025
PROD-0640,LAPTOP gaming i7,120,12,elektronik,2025-01-31 8:00:00
PROD-0641,BaJu Bayi,45,kosong,PAKAIAN,1743393600
PROD-0642,POWERBANK 10000mah,120rb,12,ELEKTRONIK,28/02/2026
PROD-0643,baju anak laki-laki,120,35,clothes,15/04/2025
PROD-0644,komik jepang lama,"Rp45000,-",kosong,BUKU,08/09/2025
PROD-0645,KEMEJA FLANEL Keren,Rp 15.000,kosong,PAKAIAN,"Jun 13, 2025"
PROD-0646,POWERBANK 10000mah,Rp 45.000,null,ELEKTRONIK,1736182800
PROD-0647,mouse WIRELESS,Rp 45.000,-5,elektronik murah,2025-03-17 7:00:00
PROD-0648,hP android murah,$3.00,-5,ELEKTRONIK,1762246800
PROD-0649,POWERBANK 10000mah,null,kosong,ELEKTRONIK,20/06/2025
PROD-0650,Buku Mewarnai anak,45,50,buku bacaan,1743105600
PROD-0651,BaJu Bayi,$8.00,75,pakaian,"Apr 02, 2025"
PROD-0652,hP android murah,45rb,kosong,elektronik,2025-01-04 0:00:00
PROD-0653,BAJU  ANAK PEREMPUAN,$1.00,kosong,clothes,1762200000
PROD-0654,NOVEL FIKSI TERJEMAHAN,45,23,buku bacaan,09/11/2025
PROD-0655,NOVEL FIKSI TERJEMAHAN,15,12,BUKU,13/06/2025
PROD-0656,kaos polos combed,$3.00,kosong,clothes,1770264000
PROD-0657,Buku Mewarnai anak,null,null,BUKU,1757437200
PROD-0658,KEMEJA FLANEL Keren,120000,kosong,PAKAIAN,1750953600
PROD-0659,NOVEL FIKSI TERJEMAHAN,"Rp45000,-",12,buku bacaan,"Aug 30, 2025"
PROD-0660,komik jepang lama,"Rp120000,-",kosong,BUKU,18/11/2025
PROD-0661,BaJu Bayi,120rb,12,pakian,30/09/2025
PROD-0662,BaJu Bayi,$8.00,12,pakian,2025-03-21 22:00:00
PROD-0663,baju anak laki-laki,45000,null,clothes,1747652400
PROD-0664,hP android murah,Rp 15.000,-5,ELEKTRONIK,2025-10-05 12:00:00
PROD-0665,komik jepang lama,,81,buku,1768258800
PROD-0666,komik jepang lama,120,kosong,BUKU,07/01/2026
PROD-0667,POWERBANK 10000mah,120rb,null,elektronik murah,1754658000
PROD-0668,NOVEL FIKSI TERJEMAHAN,$1.00,12,buku bacaan,25/10/2025
PROD-0669,mouse WIRELESS,120,kosong,elektronik murah,1767600000
PROD-0670,komik jepang lama,120rb,kosong,buku bacaan,"Jul 02, 2025"
PROD-0671,komik jepang lama,45000,-5,buku bacaan,23/03/2026
PROD-0672,Buku Mewarnai anak,45rb,12,buku bacaan,1746111600
PROD-0673,kaos polos combed,$3.00,kosong,pakaian,"Feb 22, 2026"
